"Date","Price","Open","High","Low","Change %"
"Oct 08, 2021","824.00","812.26","826.45","809.72","1.49%"
"Oct 07, 2021","811.88","813.16","816.84","809.64","-0.13%"
"Oct 06, 2021","812.93","811.20","818.88","811.20","0.25%"
"Oct 05, 2021","810.90","805.85","814.15","805.85","0.65%"
"Oct 04, 2021","805.63","803.26","809.90","801.04","0.32%"
"Oct 01, 2021","803.03","810.83","810.83","800.40","-0.93%"
"Sep 30, 2021","810.53","810.00","816.36","807.45","0.10%"
"Sep 29, 2021","809.70","802.67","812.60","798.85","0.91%"
"Sep 28, 2021","802.37","793.50","803.90","793.35","1.16%"
"Sep 27, 2021","793.20","792.83","798.48","792.59","0.10%"
"Sep 24, 2021","792.38","785.39","794.83","785.37","0.95%"
"Sep 23, 2021","784.94","787.60","790.50","783.20","-0.28%"
"Sep 22, 2021","787.15","786.05","789.59","780.91","0.20%"
"Sep 21, 2021","785.60","789.00","789.00","782.55","-0.37%"
"Sep 20, 2021","788.55","784.51","792.35","784.51","0.56%"
"Sep 17, 2021","784.13","783.63","785.01","782.84","0.11%"
"Sep 16, 2021","783.25","778.04","784.51","777.43","0.72%"
"Sep 15, 2021","777.67","783.76","786.05","777.46","-0.73%"
"Sep 14, 2021","783.38","785.05","788.40","780.74","-0.17%"
"Sep 13, 2021","784.68","788.46","791.75","781.02","-0.43%"
"Sep 10, 2021","788.08","793.40","793.40","786.76","-0.61%"
"Sep 09, 2021","792.90","787.68","794.99","784.95","0.76%"
"Sep 08, 2021","786.93","780.78","791.83","780.78","0.85%"
"Sep 07, 2021","780.28","772.73","783.12","772.72","1.04%"
"Sep 06, 2021","772.23","766.55","774.70","765.60","0.81%"
"Sep 03, 2021","766.05","768.25","769.08","762.75","-0.21%"
"Sep 02, 2021","767.65","771.31","773.15","764.85","-0.40%"
"Sep 01, 2021","770.71","773.23","774.15","761.85","-0.25%"
"Aug 31, 2021","772.63","782.60","783.05","771.15","-1.20%"
"Aug 30, 2021","782.00","782.98","784.00","778.45","-0.05%"
"Aug 27, 2021","782.38","786.91","788.40","781.61","-0.49%"
"Aug 26, 2021","786.21","783.97","787.33","782.86","0.38%"
"Aug 25, 2021","783.27","782.57","785.57","780.83","0.18%"
"Aug 24, 2021","781.87","784.38","784.53","779.62","-0.23%"
"Aug 23, 2021","783.68","786.63","787.05","780.29","-0.29%"
"Aug 20, 2021","785.93","786.51","793.26","783.49","0.04%"
"Aug 19, 2021","785.63","787.71","795.65","785.99","-0.15%"
"Aug 18, 2021","786.83","789.97","791.65","783.50","-0.36%"
"Aug 17, 2021","789.70","786.78","793.36","785.77","0.44%"
"Aug 16, 2021","786.25","775.99","789.81","775.14","1.39%"
"Aug 13, 2021","775.47","774.80","777.36","770.84","0.15%"
"Aug 12, 2021","774.28","771.41","776.56","768.16","0.43%"
"Aug 11, 2021","770.97","779.01","780.34","769.64","-0.95%"
"Aug 10, 2021","778.33","785.66","785.73","774.54","-0.85%"
"Aug 09, 2021","784.98","788.25","796.13","782.08","-0.34%"
"Aug 06, 2021","787.65","777.99","790.48","774.45","1.30%"
"Aug 05, 2021","777.54","774.34","781.14","770.45","0.47%"
"Aug 04, 2021","773.89","775.80","779.53","771.49","-0.19%"
"Aug 03, 2021","775.40","768.45","782.40","766.42","0.96%"
"Aug 02, 2021","768.00","756.65","770.38","752.92","1.56%"
"Jul 30, 2021","756.20","760.28","762.72","756.65","-0.48%"
"Jul 29, 2021","759.83","761.90","762.17","756.14","-0.21%"
"Jul 28, 2021","761.45","767.96","772.91","761.61","-0.79%"
"Jul 27, 2021","767.51","760.17","768.23","757.53","1.03%"
"Jul 26, 2021","759.72","762.21","768.07","758.07","-0.27%"
"Jul 23, 2021","761.76","753.88","762.73","752.27","1.12%"
"Jul 22, 2021","753.35","752.71","754.88","747.46","0.16%"
"Jul 21, 2021","752.18","758.25","761.45","748.00","-0.74%"
"Jul 20, 2021","757.80","760.25","763.03","752.44","-0.22%"
"Jul 19, 2021","759.50","756.02","763.83","751.75","0.24%"
"Jul 16, 2021","757.65","756.95","758.80","755.70","0.15%"
"Jul 15, 2021","756.50","745.13","758.45","744.94","1.59%"
"Jul 14, 2021","744.68","749.72","750.64","743.49","-0.61%"
"Jul 13, 2021","749.27","743.70","750.55","743.20","0.82%"
"Jul 12, 2021","743.17","748.76","754.29","741.34","-0.70%"
"Jul 09, 2021","748.38","753.41","753.41","745.59","-0.55%"
"Jul 08, 2021","752.50","749.10","759.61","746.10","0.50%"
"Jul 07, 2021","748.73","747.94","756.59","742.90","0.30%"
"Jul 06, 2021","746.50","736.38","749.50","732.89","1.47%"
"Jul 05, 2021","735.70","734.45","738.19","731.19","0.25%"
"Jul 02, 2021","733.85","740.52","743.40","730.60","-0.82%"
"Jul 01, 2021","739.92","732.30","742.91","727.42","1.12%"
"Jun 30, 2021","731.70","727.70","735.70","721.89","0.76%"
"Jun 29, 2021","726.20","735.05","740.07","726.30","-1.12%"
"Jun 28, 2021","734.45","733.20","735.05","732.83","0.25%"
"Jun 25, 2021","732.60","734.01","734.46","728.11","-0.11%"
"Jun 24, 2021","733.41","736.13","736.13","727.08","-0.29%"
"Jun 23, 2021","735.53","741.43","741.97","732.01","-0.72%"
"Jun 22, 2021","740.90","747.60","757.80","739.36","-0.82%"
"Jun 21, 2021","747.00","748.65","749.23","746.10","-0.14%"
"Jun 18, 2021","748.05","738.48","749.92","736.39","1.38%"
"Jun 17, 2021","737.88","730.24","738.93","730.24","1.12%"
"Jun 16, 2021","729.72","727.07","730.79","724.18","0.44%"
"Jun 15, 2021","726.54","719.38","727.91","719.21","1.07%"
"Jun 14, 2021","718.85","722.03","723.35","715.96","-0.37%"
"Jun 11, 2021","721.50","719.80","723.40","717.54","0.31%"
"Jun 10, 2021","719.28","719.91","723.41","717.28","-0.01%"
"Jun 09, 2021","719.38","717.66","721.86","714.49","0.21%"
"Jun 08, 2021","717.90","716.41","719.88","713.62","0.28%"
"Jun 07, 2021","715.88","718.33","719.47","714.24","-0.27%"
"Jun 04, 2021","717.80","718.95","719.66","713.84","-0.10%"
"Jun 03, 2021","718.50","718.50","723.70","716.79","-0.08%"
"Jun 02, 2021","719.10","728.46","730.58","716.10","-1.22%"
"Jun 01, 2021","728.01","722.88","729.40","718.18","0.77%"
"May 31, 2021","722.43","724.50","725.58","720.08","-0.22%"
"May 28, 2021","724.05","724.67","728.40","722.10","-0.02%"
"May 27, 2021","724.22","730.05","733.07","724.44","-0.74%"
"May 26, 2021","729.60","733.96","735.20","728.50","-0.59%"
"May 25, 2021","733.90","729.80","738.17","729.80","0.62%"
"May 24, 2021","729.35","721.05","731.55","719.09","1.21%"
"May 21, 2021","720.60","721.17","721.18","718.13","-0.02%"
"May 20, 2021","720.72","715.13","721.75","710.65","0.85%"
"May 19, 2021","714.68","712.42","719.54","711.54","0.18%"
"May 18, 2021","713.40","715.55","716.75","710.41","-0.20%"
"May 17, 2021","714.80","699.78","725.39","696.95","2.21%"
"May 14, 2021","699.33","707.75","707.92","698.74","-1.13%"
"May 13, 2021","707.30","707.35","711.09","704.46","-0.07%"
"May 12, 2021","707.80","702.53","708.95","702.06","0.81%"
"May 11, 2021","702.08","696.93","703.19","694.80","0.80%"
