"Date","Price","Open","High","Low","Change %"
"Oct 04, 2019","714.38","716.63","717.10","714.05","-0.25%"
"Oct 03, 2019","716.17","724.51","725.30","716.13","-1.11%"
"Oct 02, 2019","724.18","729.18","730.39","723.53","-0.64%"
"Oct 01, 2019","728.86","728.76","731.53","727.79","0.08%"
"Sep 30, 2019","728.30","726.28","729.30","725.88","0.34%"
"Sep 27, 2019","725.83","726.93","727.73","724.38","0.00%"
"Sep 26, 2019","725.80","727.15","728.34","723.63","-0.10%"
"Sep 25, 2019","726.50","723.66","729.07","723.52","0.48%"
"Sep 24, 2019","723.02","721.50","724.61","719.15","0.31%"
"Sep 23, 2019","720.80","717.53","724.70","715.79","0.48%"
"Sep 20, 2019","717.38","716.10","718.96","716.10","0.20%"
"Sep 19, 2019","715.95","715.95","718.58","715.46","0.12%"
"Sep 18, 2019","715.10","715.01","716.90","713.78","0.04%"
"Sep 17, 2019","714.81","709.91","717.80","709.91","0.78%"
"Sep 16, 2019","709.30","707.50","713.01","707.45","0.33%"
"Sep 13, 2019","706.98","708.92","709.28","704.62","-0.21%"
"Sep 12, 2019","708.47","715.98","715.98","708.60","-1.00%"
"Sep 11, 2019","715.66","712.15","717.45","710.36","0.57%"
"Sep 10, 2019","711.63","714.95","716.65","711.30","-0.39%"
"Sep 09, 2019","714.43","711.65","716.89","709.21","0.48%"
"Sep 06, 2019","711.00","715.63","715.63","708.47","-0.62%"
"Sep 05, 2019","715.45","723.31","723.31","712.71","-0.98%"
"Sep 04, 2019","722.50","725.25","726.08","721.71","-0.33%"
"Sep 03, 2019","724.89","725.25","727.79","724.00","0.04%"
"Sep 02, 2019","724.60","721.65","726.19","721.65","0.53%"
"Aug 30, 2019","720.80","720.92","722.22","718.10","0.08%"
"Aug 29, 2019","720.25","723.52","723.63","718.51","-0.39%"
"Aug 28, 2019","723.05","723.08","726.78","721.23","0.07%"
"Aug 27, 2019","722.55","719.70","723.80","717.44","0.45%"
"Aug 26, 2019","719.30","719.70","720.31","716.18","0.02%"
"Aug 23, 2019","719.18","715.07","719.70","712.82","0.62%"
"Aug 22, 2019","714.74","711.75","715.90","710.28","0.48%"
"Aug 21, 2019","711.30","709.33","712.59","706.13","0.34%"
"Aug 20, 2019","708.90","713.56","714.53","708.49","-0.60%"
"Aug 19, 2019","713.17","708.15","714.38","707.00","0.76%"
"Aug 16, 2019","707.76","711.20","711.39","707.95","-0.39%"
"Aug 15, 2019","710.55","711.20","712.02","710.36","0.04%"
"Aug 14, 2019","710.30","703.78","712.51","703.63","1.00%"
"Aug 13, 2019","703.26","713.85","716.32","702.59","-1.43%"
"Aug 12, 2019","713.46","710.14","720.19","709.97","0.54%"
"Aug 09, 2019","709.65","709.92","713.35","709.92","0.01%"
"Aug 08, 2019","709.57","714.33","714.33","708.64","-0.62%"
"Aug 07, 2019","714.00","714.95","721.30","713.86","-0.03%"
"Aug 06, 2019","714.20","721.03","721.03","714.57","-0.88%"
"Aug 05, 2019","720.51","713.05","724.52","712.79","1.14%"
"Aug 02, 2019","712.40","706.72","713.73","706.72","0.87%"
"Aug 01, 2019","706.27","703.58","707.55","702.53","0.41%"
"Jul 31, 2019","703.40","699.28","704.58","696.92","0.78%"
"Jul 30, 2019","697.95","696.51","701.74","696.25","0.36%"
"Jul 29, 2019","695.42","695.26","698.36","694.98","0.07%"
"Jul 26, 2019","694.93","696.51","699.16","693.91","-0.15%"
"Jul 25, 2019","695.99","690.78","696.91","688.30","0.81%"
"Jul 24, 2019","690.39","691.50","693.38","689.59","-0.10%"
"Jul 23, 2019","691.08","689.15","693.80","688.78","0.34%"
"Jul 22, 2019","688.76","688.31","689.49","687.05","0.12%"
"Jul 19, 2019","687.95","682.48","688.76","681.45","0.86%"
"Jul 18, 2019","682.09","682.38","684.51","681.70","0.01%"
"Jul 17, 2019","681.99","681.96","682.78","680.26","0.09%"
"Jul 16, 2019","681.37","679.35","682.20","679.17","0.38%"
"Jul 15, 2019","678.77","679.75","681.08","676.98","-0.09%"
"Jul 12, 2019","679.36","680.71","682.67","678.78","-0.09%"
"Jul 11, 2019","680.00","686.04","686.32","680.00","-0.79%"
"Jul 10, 2019","685.40","688.33","688.50","683.71","-0.37%"
"Jul 09, 2019","687.94","687.80","691.63","686.18","0.06%"
"Jul 08, 2019","687.51","684.01","687.90","680.89","0.58%"
"Jul 05, 2019","683.55","678.99","684.85","678.47","0.69%"
"Jul 04, 2019","678.84","678.15","679.69","675.95","0.15%"
"Jul 03, 2019","677.80","680.25","681.85","677.75","-0.29%"
"Jul 02, 2019","679.80","680.43","682.92","679.37","0.03%"
"Jul 01, 2019","679.60","677.51","680.74","673.83","0.36%"
"Jun 28, 2019","677.15","679.85","681.40","676.91","-0.32%"
"Jun 27, 2019","679.30","679.33","681.98","677.95","0.06%"
"Jun 26, 2019","678.87","681.80","681.80","678.53","-0.36%"
"Jun 25, 2019","681.35","680.55","681.95","676.26","0.18%"
"Jun 24, 2019","680.10","683.66","684.64","679.80","-0.47%"
"Jun 21, 2019","683.33","683.88","685.72","680.61","-0.02%"
"Jun 20, 2019","683.49","690.88","690.89","681.89","-1.01%"
"Jun 19, 2019","690.49","695.93","697.02","690.65","-0.73%"
"Jun 18, 2019","695.54","699.95","700.13","694.60","-0.57%"
"Jun 17, 2019","699.56","699.46","701.51","698.03","0.08%"
"Jun 14, 2019","699.00","696.26","701.34","695.84","0.44%"
"Jun 13, 2019","695.96","695.47","697.74","694.09","0.12%"
"Jun 12, 2019","695.15","693.13","696.16","692.50","0.45%"
"Jun 11, 2019","692.05","699.75","699.78","692.22","-1.04%"
"Jun 10, 2019","699.30","692.96","700.38","692.20","0.96%"
"Jun 07, 2019","692.63","692.60","693.95","690.81","0.04%"
"Jun 06, 2019","692.34","693.07","695.94","689.39","-0.06%"
"Jun 05, 2019","692.74","693.25","695.65","691.24","-0.04%"
"Jun 04, 2019","692.99","703.53","703.59","692.95","-1.45%"
"Jun 03, 2019","703.20","709.78","711.01","700.41","-0.88%"
"May 31, 2019","709.46","709.91","715.59","706.18","-0.02%"
"May 30, 2019","709.58","704.68","710.17","704.67","0.74%"
"May 29, 2019","704.36","707.51","710.45","704.18","-0.40%"
"May 28, 2019","707.18","698.65","708.83","697.88","1.24%"
"May 27, 2019","698.50","693.91","698.65","692.85","0.71%"
"May 24, 2019","693.55","696.47","696.73","693.26","-0.37%"
"May 23, 2019","696.15","697.54","700.48","695.76","-0.16%"
"May 22, 2019","697.28","694.76","698.47","694.08","0.38%"
"May 21, 2019","694.61","696.15","697.51","694.36","-0.18%"
"May 20, 2019","695.89","697.17","699.59","695.30","-0.14%"
"May 17, 2019","696.85","694.45","699.07","694.45","0.45%"
"May 16, 2019","693.74","691.78","694.96","689.16","0.33%"
"May 15, 2019","691.45","692.08","695.09","690.53","-0.04%"
"May 14, 2019","691.75","693.35","693.74","690.96","-0.18%"
"May 13, 2019","693.03","686.03","695.28","685.89","1.05%"
"May 10, 2019","685.83","684.76","688.17","683.10","0.20%"
"May 09, 2019","684.43","684.40","688.45","683.35","0.05%"
"May 08, 2019","684.11","684.63","686.80","682.73","-0.03%"
"May 07, 2019","684.30","678.76","685.13","678.22","0.87%"
"May 06, 2019","678.43","677.01","683.05","676.94","0.26%"
"May 03, 2019","676.68","681.78","682.65","677.01","-0.70%"
"May 02, 2019","681.45","678.23","685.26","677.98","0.55%"
"May 01, 2019","677.71","677.73","678.77","676.40","0.05%"
"Apr 30, 2019","677.34","679.30","680.91","676.38","-0.08%"
"Apr 29, 2019","677.88","675.17","680.02","673.54","0.45%"
"Apr 26, 2019","674.85","674.75","676.33","672.61","0.07%"
"Apr 25, 2019","674.36","672.91","677.92","672.55","0.26%"
"Apr 24, 2019","672.58","667.90","674.64","667.59","0.76%"
"Apr 23, 2019","667.48","664.40","670.17","663.92","0.52%"
"Apr 22, 2019","664.01","662.20","664.90","661.67","0.33%"
"Apr 19, 2019","661.81","662.20","662.59","661.16","0.00%"
"Apr 18, 2019","661.81","662.05","663.92","660.83","0.02%"
"Apr 17, 2019","661.66","661.84","662.30","658.63","0.02%"
"Apr 16, 2019","661.51","660.93","664.86","660.93","0.13%"
"Apr 15, 2019","660.67","661.08","664.32","659.90","-0.00%"
"Apr 12, 2019","660.69","663.90","663.90","658.63","-0.43%"
"Apr 11, 2019","663.51","662.35","665.68","662.02","0.23%"
"Apr 10, 2019","661.96","664.73","664.73","661.67","-0.36%"
"Apr 09, 2019","664.34","663.98","664.96","661.03","0.11%"
"Apr 08, 2019","663.59","665.30","665.30","661.55","-0.20%"
"Apr 05, 2019","664.91","665.08","666.20","662.73","0.04%"
"Apr 04, 2019","664.62","667.54","668.76","664.26","-0.37%"
"Apr 03, 2019","667.09","673.41","673.41","665.33","-0.87%"
"Apr 02, 2019","672.95","668.79","674.28","666.68","0.69%"
"Apr 01, 2019","668.34","680.51","680.51","668.66","-1.72%"
"Mar 29, 2019","680.05","681.70","681.70","676.10","-0.18%"
"Mar 28, 2019","681.31","681.51","684.23","678.10","0.04%"
"Mar 27, 2019","681.05","680.65","686.76","680.65","0.13%"
"Mar 26, 2019","680.19","679.71","681.51","676.92","0.12%"
"Mar 25, 2019","679.38","678.88","680.80","677.61","0.17%"
"Mar 22, 2019","678.23","667.35","680.41","667.35","1.68%"
"Mar 21, 2019","667.03","662.45","670.08","659.90","0.75%"
"Mar 20, 2019","662.06","667.35","667.85","661.84","-0.73%"
"Mar 19, 2019","666.90","665.96","667.53","662.87","0.21%"
"Mar 18, 2019","665.50","669.96","669.96","665.51","-0.60%"
"Mar 15, 2019","669.50","671.74","671.74","667.67","-0.27%"
"Mar 14, 2019","671.29","668.75","673.10","668.75","0.48%"
"Mar 13, 2019","668.10","665.50","670.65","663.78","0.45%"
"Mar 12, 2019","665.08","670.73","670.73","664.93","-0.77%"
"Mar 11, 2019","670.21","671.33","671.60","667.01","-0.07%"
"Mar 08, 2019","670.68","667.63","673.25","667.59","0.58%"
"Mar 07, 2019","666.80","660.29","668.29","659.15","1.03%"
"Mar 06, 2019","659.97","657.79","660.62","655.51","0.38%"
"Mar 05, 2019","657.47","660.20","660.52","655.88","-0.36%"
"Mar 04, 2019","659.84","659.75","662.48","657.74","0.07%"
"Mar 01, 2019","659.39","655.83","659.91","653.91","0.59%"
"Feb 28, 2019","655.50","649.26","657.44","648.63","1.01%"
"Feb 27, 2019","648.93","648.18","651.79","647.30","0.19%"
"Feb 26, 2019","647.73","650.58","651.30","647.84","-0.39%"
"Feb 25, 2019","650.25","651.26","651.26","647.47","-0.10%"
"Feb 22, 2019","650.93","654.54","654.54","649.72","-0.50%"
"Feb 21, 2019","654.22","653.21","655.91","651.89","0.21%"
"Feb 20, 2019","652.88","655.63","657.30","652.34","-0.36%"
"Feb 19, 2019","655.24","660.88","662.51","655.15","-0.81%"
"Feb 18, 2019","660.62","661.95","661.97","659.22","-0.14%"
"Feb 15, 2019","661.56","664.45","665.92","661.63","-0.38%"
"Feb 14, 2019","664.06","663.63","667.71","663.21","0.11%"
"Feb 13, 2019","663.30","660.33","664.63","659.58","0.51%"
"Feb 12, 2019","659.94","661.93","662.57","658.78","-0.24%"
"Feb 11, 2019","661.54","658.08","663.47","657.96","0.60%"
"Feb 08, 2019","657.62","658.55","659.30","654.10","-0.08%"
"Feb 07, 2019","658.16","654.83","658.60","652.42","0.57%"
"Feb 06, 2019","654.44","651.47","656.26","651.30","0.45%"
"Feb 05, 2019","651.48","652.51","654.13","648.62","-0.17%"
"Feb 04, 2019","652.58","653.87","656.17","650.53","-0.22%"
"Feb 01, 2019","654.00","655.93","659.00","651.40","-0.27%"
"Jan 31, 2019","655.80","663.92","664.19","652.29","-1.21%"
"Jan 30, 2019","663.86","667.45","669.25","663.62","-0.54%"
"Jan 29, 2019","667.45","670.85","671.34","666.77","-0.51%"
"Jan 28, 2019","670.85","669.54","673.27","667.52","0.20%"
"Jan 25, 2019","669.54","672.15","672.15","665.02","-0.39%"
"Jan 24, 2019","672.15","672.23","674.43","668.83","-0.01%"
"Jan 23, 2019","672.23","673.77","673.89","670.18","-0.23%"
"Jan 22, 2019","673.77","672.21","674.58","670.48","0.23%"
"Jan 21, 2019","672.21","671.15","674.17","670.74","0.16%"
"Jan 18, 2019","671.15","670.54","671.73","668.30","0.09%"
"Jan 17, 2019","670.54","668.97","672.98","667.62","0.23%"
"Jan 16, 2019","668.97","675.54","676.26","668.62","-0.97%"
"Jan 15, 2019","675.54","673.71","675.58","671.25","0.27%"
"Jan 14, 2019","673.71","674.86","678.71","672.67","-0.17%"
"Jan 11, 2019","674.86","675.86","676.77","672.75","-0.15%"
"Jan 10, 2019","675.86","676.00","679.90","674.52","-0.02%"
"Jan 09, 2019","676.00","680.50","682.38","675.75","-0.65%"
"Jan 08, 2019","680.40","681.27","682.92","677.74","-0.13%"
"Jan 07, 2019","681.30","681.12","682.55","677.13","0.01%"
"Jan 04, 2019","681.21","693.77","693.89","681.21","-1.81%"
"Jan 03, 2019","693.77","696.75","700.35","693.11","-0.43%"
"Jan 02, 2019","696.75","693.20","699.95","693.20","0.40%"
"Jan 01, 2019","694.00","694.00","694.00","694.00","0.00%"
"Dec 31, 2018","694.00","694.23","694.23","693.54","0.00%"
"Dec 28, 2018","694.00","697.57","697.57","691.85","-0.46%"
"Dec 27, 2018","697.23","693.64","698.45","692.02","0.52%"
"Dec 26, 2018","693.64","690.58","696.65","689.98","0.51%"
"Dec 25, 2018","690.10","690.10","690.10","690.10","0.00%"
"Dec 24, 2018","690.10","693.82","695.08","689.17","-0.49%"
"Dec 21, 2018","693.50","691.25","694.26","689.06","0.33%"
"Dec 20, 2018","691.25","690.75","691.88","684.61","0.07%"
"Dec 19, 2018","690.75","690.11","691.50","686.64","0.11%"
"Dec 18, 2018","690.01","688.28","690.95","685.79","0.26%"
"Dec 17, 2018","688.25","683.62","688.45","681.43","0.66%"
"Dec 14, 2018","683.75","682.25","688.58","682.25","0.22%"
"Dec 13, 2018","682.25","678.09","684.06","676.30","0.60%"
"Dec 12, 2018","678.15","683.65","683.83","676.98","-0.80%"
