"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 08, 2021","4.2755","4.2495","4.3010","4.2225","51.72K","0.75%"
"Oct 07, 2021","4.2435","4.1755","4.2600","4.1625","41.51K","2.31%"
"Oct 06, 2021","4.1475","4.1820","4.2185","4.1140","48.58K","-1.07%"
"Oct 05, 2021","4.1925","4.2390","4.2420","4.1510","41.33K","-1.09%"
"Oct 04, 2021","4.2385","4.2145","4.3030","4.1775","45.60K","1.19%"
"Oct 01, 2021","4.1885","4.1065","4.2100","4.0585","51.97K","2.43%"
"Sep 30, 2021","4.0890","4.1775","4.2080","4.0545","72.32K","-2.62%"
"Sep 29, 2021","4.1990","4.2485","4.2575","4.1665","47.16K","-1.12%"
"Sep 28, 2021","4.2465","4.2785","4.3015","4.2310","52.87K","-1.00%"
"Sep 27, 2021","4.2895","4.2925","4.3175","4.2550","48.97K","0.09%"
"Sep 24, 2021","4.2855","4.2300","4.3020","4.2030","59.93K","1.29%"
"Sep 23, 2021","4.2310","4.2250","4.2880","4.1945","48.89K","-0.49%"
"Sep 22, 2021","4.2520","4.1125","4.2775","4.1070","67.39K","3.05%"
"Sep 21, 2021","4.1260","4.1245","4.1790","4.0160","72.57K","0.28%"
"Sep 20, 2021","4.1145","4.2395","4.2460","4.0940","64.93K","-3.10%"
"Sep 17, 2021","4.2460","4.2815","4.3590","4.2310","54.03K","-0.83%"
"Sep 16, 2021","4.2815","4.4020","4.4120","4.2560","58.66K","-2.84%"
"Sep 15, 2021","4.4065","4.3155","4.4225","4.2915","54.32K","1.98%"
"Sep 14, 2021","4.3210","4.3675","4.3775","4.2870","50.84K","-1.05%"
"Sep 13, 2021","4.3670","4.4260","4.4715","4.3315","69.98K","-1.91%"
"Sep 10, 2021","4.4520","4.2800","4.4690","4.2730","85.65K","3.89%"
"Sep 09, 2021","4.2855","4.2375","4.3140","4.2155","42.61K","1.24%"
"Sep 08, 2021","4.2330","4.2750","4.2995","4.2060","51.08K","-1.13%"
"Sep 07, 2021","4.2815","4.3340","4.3465","4.2550","57.32K","-1.17%"
"Sep 06, 2021","4.3320","4.3325","4.3457","4.3040","-","-0.01%"
"Sep 05, 2021","4.3325","4.3350","4.3422","4.3315","-","-0.03%"
"Sep 03, 2021","4.3340","4.2975","4.3510","4.2800","44.97K","0.70%"
