"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 04, 2019","2.6265","2.6160","2.6160","2.6160","0.45K","0.29%"
"Oct 03, 2019","2.6190","2.6080","2.6080","2.6080","0.58K","-0.61%"
"Oct 02, 2019","2.6350","2.6250","2.6250","2.6250","0.97K","0.21%"
"Oct 01, 2019","2.6295","2.6195","2.6195","2.6195","0.99K","-0.70%"
"Sep 30, 2019","2.6480","2.6370","2.6370","2.6370","0.70K","-0.69%"
"Sep 27, 2019","2.6665","2.6555","2.6555","2.6555","0.30K","0.76%"
"Sep 26, 2019","2.6465","2.6355","2.6355","2.6355","0.45K","-1.18%"
"Sep 25, 2019","2.6780","2.6670","2.6670","2.6670","0.45K","0.21%"
"Sep 24, 2019","2.6725","2.6615","2.6615","2.6615","0.22K","-0.24%"
"Sep 23, 2019","2.6790","2.6680","2.6680","2.6680","0.24K","0.15%"
"Sep 20, 2019","2.6750","2.6640","2.6640","2.6640","0.38K","-0.15%"
"Sep 19, 2019","2.6790","2.6680","2.6680","2.6680","0.37K","-0.15%"
"Sep 18, 2019","2.6830","2.6720","2.6720","2.6720","0.30K","-0.59%"
"Sep 17, 2019","2.6990","2.6880","2.6880","2.6880","0.39K","-0.61%"
"Sep 16, 2019","2.7155","2.7045","2.7045","2.7045","0.00K","-1.79%"
"Sep 13, 2019","2.7650","2.7540","2.7540","2.7540","0.80K","2.12%"
"Sep 12, 2019","2.7075","2.6965","2.6965","2.6965","0.71K","0.89%"
"Sep 11, 2019","2.6835","2.6725","2.6725","2.6725","0.61K","-0.35%"
"Sep 10, 2019","2.6930","2.6820","2.6820","2.6820","0.21K","0.04%"
"Sep 09, 2019","2.6920","2.6810","2.6810","2.6810","0.16K","-0.33%"
"Sep 06, 2019","2.7010","2.6900","2.6900","2.6900","0.58K","-0.31%"
"Sep 05, 2019","2.7095","2.6985","2.6985","2.6985","0.22K","1.84%"
"Sep 04, 2019","2.6605","2.6495","2.6495","2.6495","0.39K","2.50%"
"Sep 03, 2019","2.5955","2.5845","2.5845","2.5845","0.62K","2.51%"
"Sep 02, 2019","2.5320","2.5520","2.5670","2.5280","-","-0.78%"
"Sep 01, 2019","2.5520","2.5570","2.5570","2.5470","-","-2.56%"
"Aug 30, 2019","2.6190","2.6080","2.6080","2.6080","0.39K","-0.91%"
"Aug 29, 2019","2.6430","2.6320","2.6320","2.6320","0.67K","0.44%"
"Aug 28, 2019","2.6315","2.6205","2.6205","2.6205","0.25K","0.40%"
"Aug 27, 2019","2.6210","2.6100","2.6100","2.6100","0.49K","0.06%"
"Aug 26, 2019","2.6195","2.6085","2.6085","2.6085","0.13K","0.46%"
"Aug 23, 2019","2.6075","2.5965","2.5965","2.5965","0.16K","-1.14%"
"Aug 22, 2019","2.6375","2.6265","2.6265","2.6265","0.19K","-0.86%"
"Aug 21, 2019","2.6605","2.6495","2.6495","2.6495","0.60K","0.26%"
"Aug 20, 2019","2.6535","2.6425","2.6425","2.6425","0.55K","-0.88%"
"Aug 19, 2019","2.6770","2.6660","2.6660","2.6660","0.17K","0.22%"
"Aug 16, 2019","2.6710","2.6600","2.6600","2.6600","0.34K","-0.06%"
"Aug 15, 2019","2.6725","2.6615","2.6615","2.6615","1.97K","0.17%"
"Aug 14, 2019","2.6680","2.6570","2.6570","2.6570","0.14K","-1.40%"
"Aug 13, 2019","2.7060","2.6950","2.6950","2.6950","0.32K","1.63%"
"Aug 12, 2019","2.6625","2.6515","2.6515","2.6515","0.09K","-0.13%"
"Aug 09, 2019","2.6660","2.6550","2.6550","2.6550","0.23K","-0.67%"
"Aug 08, 2019","2.6840","2.6730","2.6730","2.6730","0.20K","1.23%"
"Aug 07, 2019","2.6515","2.6405","2.6405","2.6405","0.11K","0.51%"
"Aug 06, 2019","2.6380","2.6270","2.6270","2.6270","0.29K","0.44%"
"Aug 05, 2019","2.6265","2.6215","2.6790","2.6215","0.01K","-1.00%"
"Aug 02, 2019","2.6530","2.6420","2.6420","2.6420","0.18K","-3.39%"
"Aug 01, 2019","2.7460","2.7350","2.7350","2.7350","0.08K","0.02%"
"Jul 31, 2019","2.7455","2.7345","2.7345","2.7345","0.21K","-0.34%"
"Jul 30, 2019","2.7550","2.7440","2.7440","2.7440","0.23K","-1.29%"
"Jul 29, 2019","2.7910","2.7800","2.7800","2.7800","0.09K","1.03%"
"Jul 26, 2019","2.7625","2.7515","2.7515","2.7515","0.09K","-0.68%"
"Jul 25, 2019","2.7815","2.7705","2.7705","2.7705","0.07K","-0.20%"
"Jul 24, 2019","2.7870","2.7760","2.7760","2.7760","0.04K","0.52%"
"Jul 23, 2019","2.7725","2.7615","2.7615","2.7615","0.06K","-0.95%"
"Jul 22, 2019","2.7990","2.7880","2.7880","2.7880","0.28K","-0.82%"
"Jul 19, 2019","2.8220","2.8110","2.8110","2.8110","0.34K","1.60%"
"Jul 18, 2019","2.7775","2.7665","2.7665","2.7665","0.19K","-0.25%"
"Jul 17, 2019","2.7845","2.7735","2.7735","2.7735","0.12K","0.52%"
"Jul 16, 2019","2.7700","2.7590","2.7590","2.7590","0.09K","-0.40%"
"Jul 15, 2019","2.7810","2.7700","2.7700","2.7700","0.18K","0.47%"
"Jul 12, 2019","2.7680","2.7570","2.7570","2.7570","0.11K","0.22%"
"Jul 11, 2019","2.7620","2.7510","2.7510","2.7510","0.31K","-0.13%"
"Jul 10, 2019","2.7655","2.7545","2.7545","2.7545","0.12K","2.41%"
"Jul 09, 2019","2.7005","2.6895","2.6895","2.6895","0.14K","-1.28%"
"Jul 08, 2019","2.7355","2.7245","2.7245","2.7245","0.57K","0.00%"
"Jul 05, 2019","2.7355","2.7245","2.7245","2.7245","0.18K","2.07%"
"Jul 04, 2019","2.6800","2.6850","2.6870","2.6700","-","-2.60%"
"Jul 03, 2019","2.7515","2.7405","2.7405","2.7405","0.12K","0.40%"
"Jul 02, 2019","2.7405","2.7295","2.7295","2.7295","0.47K","-0.71%"
"Jul 01, 2019","2.7600","2.7490","2.7490","2.7490","0.33K","-0.88%"
"Jun 28, 2019","2.7845","2.7740","2.7740","2.7740","0.22K","-0.02%"
"Jun 27, 2019","2.7850","2.7745","2.7745","2.7745","0.11K","0.02%"
"Jun 26, 2019","2.7845","2.7740","2.7740","2.7740","0.44K","-0.54%"
"Jun 25, 2019","2.7995","2.7890","2.7890","2.7890","0.17K","1.19%"
